date,national_demand,wind_generation,solar_generation,daily_average_forecast_carbon_intensity,daily_average_actual_carbon_intensity,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh,day,month,weekday,weekday_number,is_weekend
2023-03-31,27523.125,2099.5,758.0,121.3125,120.0,3.872,3.5684,31,3,Friday,4,False
2023-04-01,25677.854166666668,1478.6458333333333,919.8541666666666,120.27083333333333,116.16666666666667,3.9539,3.6142,1,4,Saturday,5,True
2023-04-02,24590.395833333332,892.625,1974.7708333333333,152.4375,155.66666666666666,3.9331,3.6643,2,4,Sunday,6,True
2023-04-03,26785.625,1409.25,3061.4791666666665,163.27083333333334,163.5625,4.0326,3.7003,3,4,Monday,0,False
2023-04-04,26604.291666666668,1420.3125,3200.2083333333335,180.22916666666666,187.54166666666666,3.8605,3.7854,4,4,Tuesday,1,False
2023-04-05,28788.895833333332,1402.7291666666667,1127.9375,207.0625,211.33333333333334,3.8524,3.8214,5,4,Wednesday,2,False
2023-04-06,26325.145833333332,1795.3125,1966.8333333333333,162.60416666666666,167.39583333333334,3.4216,3.8606,6,4,Thursday,3,False
2023-04-07,23369.604166666668,658.6041666666666,3089.4166666666665,191.08333333333334,190.60416666666666,3.4842,3.8466,7,4,Friday,4,False
2023-04-08,22333.0,970.3541666666666,2723.4166666666665,183.79166666666666,181.97916666666666,3.4248,3.7912,8,4,Saturday,5,True
2023-04-09,21418.020833333332,2169.125,2220.9583333333335,118.5,115.0,3.4209,3.7156,9,4,Sunday,6,True
2023-04-10,21682.291666666668,2971.9166666666665,1747.5833333333333,63.1875,60.479166666666664,3.2771,3.6424,10,4,Monday,0,False
2023-04-11,25165.3125,3148.4791666666665,1756.4375,96.29166666666667,100.125,3.4141,3.5345,11,4,Tuesday,1,False
2023-04-12,26211.8125,3393.8125,1872.4375,90.52083333333333,96.45833333333333,3.513,3.4707,12,4,Wednesday,2,False
2023-04-13,25790.520833333332,2111.6041666666665,2587.125,115.77083333333333,121.35416666666667,3.4194,3.4222,13,4,Thursday,3,False
2023-04-14,28561.541666666668,745.8541666666666,1307.9791666666667,233.45833333333334,231.58333333333334,3.4185,3.4219,14,4,Friday,4,False
2023-04-15,24640.0625,635.9791666666666,2343.8333333333335,185.83333333333334,181.35416666666666,3.3345,3.4125,15,4,Saturday,5,True
2023-04-16,24568.875,847.5625,1532.7916666666667,193.75,194.5625,3.4262,3.3996,16,4,Sunday,6,True
2023-04-17,27269.645833333332,696.9583333333334,1747.6875,229.95833333333334,226.85416666666666,3.4138,3.4004,17,4,Monday,0,False
2023-04-18,25842.25,1874.9375,2654.6041666666665,140.33333333333334,136.20833333333334,3.4168,3.4199,18,4,Tuesday,1,False
2023-04-19,25252.583333333332,2448.5208333333335,2420.6875,107.52083333333333,103.02083333333333,3.1113,3.4203,19,4,Wednesday,2,False
2023-04-20,24183.6875,2237.7291666666665,3425.8958333333335,120.70833333333333,120.52083333333333,3.2708,3.3629,20,4,Thursday,3,False
2023-04-21,26604.3125,1966.125,1462.6666666666667,160.3125,161.125,3.3418,3.3417,21,4,Friday,4,False
2023-04-22,24350.083333333332,1149.2083333333333,1951.0,162.60416666666666,156.64583333333334,3.3697,3.3307,22,4,Saturday,5,True
2023-04-23,24254.125,1486.1458333333333,1598.6458333333333,129.66666666666666,124.8125,3.3897,3.3358,23,4,Sunday,6,True
2023-04-24,27806.979166666668,1786.25,1705.9791666666667,144.0625,146.85416666666666,3.3062,3.3306,24,4,Monday,0,False
2023-04-25,27287.208333333332,790.1666666666666,3048.1041666666665,198.625,201.25,3.282,3.3152,25,4,Tuesday,1,False
2023-04-26,28512.625,524.5416666666666,1840.6458333333333,243.52083333333334,244.0625,3.1606,3.2959,26,4,Wednesday,2,False
2023-04-27,28515.0625,1666.5625,1139.25,189.5625,185.64583333333334,3.1993,3.303,27,4,Thursday,3,False
2023-04-28,27099.145833333332,956.7708333333334,1495.5416666666667,195.41666666666666,193.8125,3.0995,3.2928,28,4,Friday,4,False
2023-04-29,23288.541666666668,576.5833333333334,2538.9583333333335,214.9375,205.72916666666666,3.043,3.2581,29,4,Saturday,5,True
2023-04-30,22860.541666666668,996.3125,1804.3333333333333,153.60416666666666,144.47916666666666,2.9564,3.2115,30,4,Sunday,6,True
2023-05-01,22914.958333333332,1193.375,2063.6041666666665,148.5625,149.41666666666666,3.0494,3.1496,1,5,Monday,0,False
2023-05-02,25997.270833333332,669.6458333333334,2079.3333333333335,218.39583333333334,219.25,3.0453,3.1129,2,5,Tuesday,1,False
2023-05-03,24128.708333333332,1546.2916666666667,3270.5416666666665,166.04166666666666,155.0,2.8993,3.0791,3,5,Wednesday,2,False
2023-05-04,23962.708333333332,2832.6458333333335,2354.3333333333335,92.6875,96.375,2.8282,3.0417,4,5,Thursday,3,False
2023-05-05,24915.6875,1538.4166666666667,1973.5625,154.97916666666666,163.54166666666666,2.8455,2.9887,5,5,Friday,4,False
2023-05-06,23618.604166666668,787.0,1274.7083333333333,181.125,189.64583333333334,3.0241,2.9524,6,5,Saturday,5,True
2023-05-07,21408.604166666668,784.1875,2423.0,145.75,141.9375,2.9153,2.9497,7,5,Sunday,6,True
2023-05-08,22966.416666666668,1579.6875,1010.0208333333334,135.1875,134.25,3.0113,2.9439,8,5,Monday,0,False
2023-05-09,25525.5625,752.25,1967.8541666666667,198.77083333333334,196.125,3.0073,2.9384,9,5,Tuesday,1,False
2023-05-10,24995.708333333332,1087.875,2447.1875,195.375,198.60416666666666,2.8513,2.933,10,5,Wednesday,2,False
2023-05-11,25283.9375,537.8541666666666,2331.9791666666665,230.52083333333334,227.4375,2.831,2.9261,11,5,Thursday,3,False
2023-05-12,24770.708333333332,1388.1041666666667,1641.0416666666667,156.9375,151.52083333333334,2.7027,2.9265,12,5,Friday,4,False
2023-05-13,21975.520833333332,785.5208333333334,2424.6875,143.6875,144.89583333333334,2.7062,2.9061,13,5,Saturday,5,True
